id,url,price_eur,sqm,rooms,floor,region
9157170b56cf,https://www.immowelt.de/expose/e3463f5e-d1b1-4f04-8844-a8832da2b450?serp_view=list&search=distributionTypes%3DBuy%2CBuy_Auction%2CCompulsory_Auction%26estateTypes%3DApartment%26locations%3DAD08DE8634%26page%3D4#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,561900,98.6,3.0,,
2d9f1aeeb2fb,https://www.immowelt.de/expose/3612b54a-59ee-46b0-8bae-efcd0bbb61a9?serp_view=list&search=distributionTypes%3DBuy%2CBuy_Auction%2CCompulsory_Auction%26estateTypes%3DApartment%26locations%3DAD08DE8634%26page%3D5#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,509000,96.0,3.0,,Wilmersdorf
dde71f02ff4f,https://www.immowelt.de/expose/b83e3596-42cc-4403-bd66-5405b6a39837?serp_view=list&search=distributionTypes%3DBuy%2CBuy_Auction%2CCompulsory_Auction%26estateTypes%3DApartment%26locations%3DAD08DE8634%26page%3D6#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,657000,101.1,4.0,,Charlottenburg
9f47dec97ec6,https://www.immowelt.de/expose/2effeb6d-82e1-4515-8c2a-961220d65d60?serp_view=list&search=distributionTypes%3DBuy%2CBuy_Auction%2CCompulsory_Auction%26estateTypes%3DApartment%26locations%3DAD08DE8634%26page%3D6#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,440000,105.0,3.0,,Zehlendorf
3ecf623af64c,https://www.immowelt.de/expose/3b116924-1e3c-45fc-8b14-ad585a9646a7?serp_view=list&search=distributionTypes%3DBuy%2CBuy_Auction%2CCompulsory_Auction%26estateTypes%3DApartment%26locations%3DAD08DE8634%26page%3D7#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,585000,97.0,3.0,,
2ac86d879f58,https://www.immowelt.de/expose/fd843ef2-662c-4472-8734-fe485a08ee25?serp_view=list&search=distributionTypes%3DBuy%2CBuy_Auction%2CCompulsory_Auction%26estateTypes%3DApartment%26locations%3DAD08DE8634%26page%3D7#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,615000,96.0,4.0,,Friedrichshain
66a7f17ed498,https://www.immowelt.de/expose/f20323b9-03cd-48ce-836a-c8147b15b9c4?serp_view=list&search=distributionTypes%3DBuy%2CBuy_Auction%2CCompulsory_Auction%26estateTypes%3DApartment%26locations%3DAD08DE8634%26page%3D7#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,669000,112.6,3.0,,
ea7bd4c3786f,https://www.immowelt.de/expose/591b707a-5e2d-4477-9646-46346a4116d2?serp_view=list&search=distributionTypes%3DBuy%2CBuy_Auction%2CCompulsory_Auction%26estateTypes%3DApartment%26locations%3DAD08DE8634%26page%3D8#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,499900,120.0,3.0,,
b4179a1bd1b7,https://www.immowelt.de/expose/4decc7bc-4102-44a1-bb6c-d4ca8cfe8a19?serp_view=list&search=distributionTypes%3DBuy%2CBuy_Auction%2CCompulsory_Auction%26estateTypes%3DApartment%26locations%3DAD08DE8634%26page%3D8#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,539000,130.5,3.0,,
3e71e02d63d0,https://www.immowelt.de/expose/57bdcce1-2cf6-42a2-a9a8-e3fe2db3dcb3?serp_view=list&search=distributionTypes%3DBuy%2CBuy_Auction%2CCompulsory_Auction%26estateTypes%3DApartment%26locations%3DAD08DE8634%26page%3D8#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,649000,118.5,4.0,,
197a7d8110e9,https://www.immowelt.de/expose/d23c9631-539b-46e9-964d-3fa1fd0cb780?serp_view=list&search=distributionTypes%3DBuy%2CBuy_Auction%2CCompulsory_Auction%26estateTypes%3DApartment%26locations%3DAD08DE8634%26page%3D8#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,460000,119.0,4.0,,Köpenick
c9ae74ee49df,https://www.immowelt.de/expose/d1cb3c66-e1af-44ba-99ad-274fe91f6d3f?serp_view=list&search=distributionTypes%3DBuy%2CBuy_Auction%2CCompulsory_Auction%26estateTypes%3DApartment%26locations%3DAD08DE8634%26page%3D9#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,399000,98.6,3.5,,
