link,id,price_czk,size_sqm,floor,rooms,district_num,neighborhood,date_updated
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-olgy-havlove/2702885452,2702885452,9297000,45,11,2+kk,,zizkov,07.04.2026
https://www.sreality.cz/detail/prodej/byt/2+kk/praha--lucemburska/2096849740,2096849740,12500000,51,4,2+kk,,lucemburska,07.04.2026
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-olgy-havlove/586179404,586179404,9250000,44,,2+kk,,zizkov,
https://www.sreality.cz/detail/prodej/byt/1+1/praha-zizkov-baranova/3615449932,3615449932,8550000,49,7,1+1,,zizkov,30.03.2026
https://www.sreality.cz/detail/prodej/byt/1+kk/praha-zizkov-malesicka/3551814476,3551814476,6990000,69,1,1+kk,,zizkov,02.04.2026
https://www.sreality.cz/detail/prodej/byt/2+1/praha-zizkov-basilejske-namesti/3623773004,3623773004,10900000,73,4,2+1,,zizkov,31.03.2026
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-jana-zelivskeho/2740933452,2740933452,9283000,50,,2+kk,,zizkov,
https://www.sreality.cz/detail/prodej/byt/1+kk/praha-zizkov-olsanska/4233454412,4233454412,9850000,46,,1+kk,,zizkov,
https://www.sreality.cz/detail/prodej/byt/2+kk/praha--kubelikova/1803698764,1803698764,9458000,50,3,2+kk,,kubelikova,Včera
https://www.sreality.cz/detail/prodej/byt/3+kk/praha--kubelikova/2860663372,2860663372,12463000,78,,3+kk,,kubelikova,
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zizkov-u-viktorie/2870244172,2870244172,16998400,69,4,3+kk,,zizkov,01.04.2026
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zizkov-u-viktorie/1424257868,1424257868,15995800,70,,3+kk,,zizkov,
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zizkov-ostromecska/1743344460,1743344460,8990000,67,,3+kk,,zizkov,
https://www.sreality.cz/detail/prodej/byt/4+kk/praha-zizkov-olsanska/2704954188,2704954188,19490000,107,5,4+kk,,zizkov,08.04.2026
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-strasnice-zverinova/3651539788,3651539788,13500000,69,,3+kk,,strasnice,
https://www.sreality.cz/detail/prodej/byt/1+kk/praha-zizkov-premyslovska/2638832460,2638832460,6800000,38,1,1+kk,,zizkov,Včera
https://www.sreality.cz/detail/prodej/byt/3+1/praha-zizkov-biskupcova/1954308940,1954308940,13500000,91,2,3+1,,zizkov,08.04.2026
https://www.sreality.cz/detail/prodej/byt/2+1/praha-zizkov-hartigova/3519902540,3519902540,8251065,55,,2+1,,zizkov,
https://www.sreality.cz/detail/prodej/byt/1+kk/praha-zizkov-biskupcova/230445900,230445900,5500000,28,3,1+kk,,zizkov,04.04.2026
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-pod-jarovem/3433845580,3433845580,6990000,53,1,2+kk,,zizkov,03.04.2026
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-u-viktorie/1540416332,1540416332,15950000,67,6,2+kk,,zizkov,Včera
https://www.sreality.cz/detail/prodej/byt/1+kk/praha-zizkov-ondrickova/3885982540,3885982540,5990000,23,5,1+kk,,zizkov,04.04.2026
https://www.sreality.cz/detail/prodej/byt/1+kk/praha-vinohrady-ondrickova/1473340236,1473340236,6190000,25,3,1+kk,,vinohrady,04.04.2026
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-jeseniova/4265177932,4265177932,7534000,49,,2+kk,,zizkov,
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-pitterova/376202060,376202060,12900000,83,5,2+kk,,zizkov,07.04.2026
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-strasnice-zverinova/2914935628,2914935628,17433200,97,1,3+kk,,strasnice,Včera
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-jeseniova/1530491724,1530491724,9243000,63,7,2+kk,,zizkov,Včera
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-chlumova/286729036,286729036,8999000,48,6,2+kk,,zizkov,06.04.2026
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-jana-zelivskeho/1096766284,1096766284,9168000,50,,2+kk,,zizkov,
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-pod-lipami/3345441612,3345441612,7650000,61,,2+kk,,zizkov,
https://www.sreality.cz/detail/prodej/byt/3+1/praha-zizkov-hartigova/3972887372,3972887372,11349087,84,2,3+1,,zizkov,08.04.2026
https://www.sreality.cz/detail/prodej/byt/1+kk/praha-zizkov-jeseniova/3838600012,3838600012,5990000,28,,1+kk,,zizkov,
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zizkov-hartigova/2093839180,2093839180,10316413,74,2,3+kk,,zizkov,08.04.2026
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zizkov-olgy-havlove/402465612,402465612,15690000,93,1,3+kk,,zizkov,07.04.2026
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-buchovcova/389817164,389817164,8180000,44,5,2+kk,,zizkov,06.04.2026
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zizkov-biskupcova/1343821132,1343821132,18900000,97,7,3+kk,,zizkov,01.04.2026
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vinohrady-slavikova/2752762444,2752762444,11500000,53,,2+kk,,vinohrady,
https://www.sreality.cz/detail/prodej/byt/4+kk/praha-zizkov-husitska/2221433420,2221433420,16500000,91,5,4+kk,,zizkov,01.04.2026
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zizkov-biskupcova/2242667084,2242667084,19790000,112,7,3+kk,,zizkov,01.04.2026
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-biskupcova/2762760780,2762760780,12390000,69,,2+kk,,zizkov,
https://www.sreality.cz/detail/prodej/byt/4+kk/praha-vinohrady-chrudimska/961340236,961340236,23850000,159,5,4+kk,,vinohrady,01.04.2026
https://www.sreality.cz/detail/prodej/byt/3+1/praha-zizkov-husitska/4058571596,4058571596,13500000,121,5,3+1,,zizkov,01.04.2026
https://www.sreality.cz/detail/prodej/byt/2+1/praha-zizkov-cajkovskeho/1103160140,1103160140,14750000,89,7,2+1,,zizkov,01.04.2026
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zizkov-u-rajske-zahrady/2249646924,2249646924,22450000,116,2,3+kk,,zizkov,01.04.2026
https://www.sreality.cz/detail/prodej/byt/4+kk/praha-zizkov-zerotinova/110347084,110347084,19900000,108,5,4+kk,,zizkov,01.04.2026
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-biskupcova/840483660,840483660,11500000,48,,2+kk,,zizkov,
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-viklefova/688980812,688980812,7390000,53,,2+kk,,zizkov,
https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-sudomerska/2530345804,2530345804,9500000,64,2,2+kk,,zizkov,01.04.2026
https://www.sreality.cz/detail/prodej/byt/2+1/praha-vinohrady-u-vodarny/2714633036,2714633036,20000000,98,5,2+1,,vinohrady,Včera
https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zizkov-rehorova/2169000780,2169000780,19950000,100,3,3+kk,,zizkov,01.04.2026
